Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2021/02/15 11:06,,,,,
,,,,,
Yearly Maximum Values for Hydrological Years  ordered by  DATE,,,,,
,,,,,
A7H008   Limpopo River @ Beit Bridge,,,,,
,,,,,
Hydro,,MAX,MAX,MAX,
Year,Date,Time,Level (m),Flow (cumec),Code
1993,19921226, 04:18,2.461,1723.834,
1994,19931231, 18:42,2.974,2991.292,
1995,19950222, 04:30,2.637,2094.356,
1996,19960129, 07:00,3.024,3148.307,
1997,19970405, 02:12,1.191,379.253,
1998,19980201, 19:48,1.37,496.04,
1999,19990122, 18:12,1.584,653.807,
2000,19991127, 05:24,1.261,423.254,M
2001,20010304, 12:00,1.624,685.451,M
2002,20011207, 17:42,1.238,408.56,
2003,20030110, 11:18,1.38,502.98,Q
2004,20040307, 05:24,2.345,1510.934,
2005,20050124, 02:37,1.643,700.709,
2006,20060125, 22:56,1.596,663.233,Q
2007,20070330, 08:43,1.827,856.25,Q
2008,20080110, 06:41,1.901,922.713,Q
2009,20090201, 07:35,2.359,1535.344,Q
2010,20100406, 17:03,2.055,1072.788,Q
2011,20110109, 21:48,2.303,1439.497,Q
2012,20120106, 17:12,0.771,161.978,Q
2013,20130120, 22:48,6.707,8815.039,^
2014,20140202, 03:36,3.714,4399.579,^
2015,20141229, 17:24,1.686,735.805,^
2016,20160116, 19:00,1.4,516.98,^
2017,20170228, 00:12,3.943,4704.783,^
2018,20180228, 01:48,1.382,504.372,^
2019,20190217, 05:24,1.458,558.56,^
2020,20191119, 04:00,0.118,5.37,M
,,,,,
,,,,,
Explanation of codes:,,,,,
,,,,,
M ...  Missing Data,,,,,
Q ...  Data Not Audited,,,,,
^ ...  Rating Table Extrapolated,,,,,
