year,AnnualMaxDischarge_cfs
1935,38500
1936,179000
1937,17200
1938,25400
1939,4940
1940,55900
1941,58000
1942,56000
1943,7710
1944,12300
1945,22000
1946,17900
1947,46000
1948,6970
1949,20600
1950,13300
1951,12300
1952,28400
1953,11600
1954,8560
1955,4950
1956,1730
1957,25300
1958,58300
1959,10100
1960,23700
1961,55800
1962,10800
1963,4100
1964,5720
1965,15000
1966,9790
1967,70000
1968,44300
1969,15200
1970,9190
1971,9740
1972,58500
1973,33100
1974,25200
1975,30200
1976,14100
1977,54500
1978,12700
