DrainageRegion,Station No,Place,CatchmentArea_km2,Latitude,Longitude
A,A2H001,Krokodil River @ Hartbeespoort,2909,-25.73386,27.85969
A,A2H002,Magalies River @ Hartbeespoort,1207,-25.74497,27.85158
A,A2H003,Hex River @ Olifantspoort,495,-25.77944,27.26638
A,A2H004,Plat River @ Roodepoort,137,-24.87002,28.26333
A,A2H005,Hennops River @ Zwartkop,808,-25.82947,28.14
A,A2H006,Pienaars River @ Klipdrift,1028,-25.38022,28.3165
A,A2H007,Apies River @ Daspoort,142,-25.72888,28.16886
A,A2H011,Apies River @ Bon Accord,308,-25.62558,28.19111
A,A2H012,Krokodil River @ Kalkheuwel,2551,-25.81056,27.90983
A,A2H013,Magalies River @ Scheerpoort,1171,-25.77703,27.76117
A,A2H014,Hennops River @ Skurweberg,1007,-25.79828,27.98539
A,A2H015,Krokodil River @ Buffelshoek,23940,-24.67313,27.3955
A,A2H016,Sterkstroom River @ Buffelspoort,140,-25.75055,27.48608
A,A2H017,Hex River @ Boschpoort,1071,-25.54336,27.35638
A,A2H018,Krokodil River @ Donkerpoort,1070,-24.63452,27.31638
A,A2H020,Elands River @ Bulhoek,4558,-25.31088,27.45719
A,A2H021,Pienaars River @ Buffelspoort,7483,-25.12856,27.62858
A,A2H022,Krokodil River @ Welgegund,2616,-25.79777,27.89552
A,A2H023,Jukskei River @ Nietgedacht,686,-25.95444,27.96256
A,A2H024,Brandvlei River @ Brandvlei,13,-26.151,27.59478
A,A2H025,Krokodil River @ Hardekoolbult,21349,-24.93391,27.548
A,A2H026,Apies River @ Hamanskraal,676,-25.40638,28.278
A,A2H027,Pienaars River @ Baviaanspoort,357,-25.66361,28.35131
A,A2H028,Hartbees Spruit @ Kameeldrift,161,-25.65136,28.31911
A,A2H029,Edendale Spruit @ Leeuwfontein,129,-25.64711,28.39039
A,A2H030,Roodeplaat Spruit @ Louwsbaken se Loop Roodeplaat,116,-25.60286,28.37517
A,A2H031,Sand River @ Buffelspoort,1124,-25.13561,27.62719
A,A2H032,Selons River @ Moedwil,522,-25.6375,27.02703
